,index,name
929,305,Rue Saint-Maur
930,229,Parmentier
931,305,Rue Saint-Maur
932,285,Père Lachaise
933,305,Rue Saint-Maur
934,229,Parmentier
935,305,Rue Saint-Maur
936,285,Père Lachaise
937,115,Gambetta
938,285,Père Lachaise
939,305,Rue Saint-Maur
940,229,Parmentier
941,312,République
942,350,Temple
943,312,République
944,314,République
945,107,Filles du Calvaire
946,107,Filles du Calvaire
947,335,Saint-Sébastien-Froissart
948,107,Filles du Calvaire
949,335,Saint-Sébastien-Froissart
950,61,Chemin Vert
951,18,Bastille
952,61,Chemin Vert
953,18,Bastille
954,163,Ledru Rollin
955,105,Faidherbe-Chaligny
956,163,Ledru Rollin
957,105,Faidherbe-Chaligny
958,296,Reuilly Diderot
959,105,Faidherbe-Chaligny
960,163,Ledru Rollin
961,18,Bastille
962,61,Chemin Vert
963,18,Bastille
964,163,Ledru Rollin
965,105,Faidherbe-Chaligny
966,296,Reuilly Diderot
967,205,Montgallet
968,94,Daumesnil
969,200,Michel Bizot
970,94,Daumesnil
971,205,Montgallet
972,296,Reuilly Diderot
973,105,Faidherbe-Chaligny
974,296,Reuilly Diderot
975,205,Montgallet
976,94,Daumesnil
977,205,Montgallet
978,94,Daumesnil
979,205,Montgallet
980,296,Reuilly Diderot
981,296,Reuilly Diderot
982,105,Faidherbe-Chaligny
983,296,Reuilly Diderot
984,205,Montgallet
985,296,Reuilly Diderot
986,105,Faidherbe-Chaligny
987,163,Ledru Rollin
